Code,Name,Market,Marcap_억원,Stocks
452260,한화갤러리아,KOSPI,5535,193859610
019170,신풍제약,KOSPI,5530,52418522
460860,동국제강,KOSPI,5526,49608017
104830,원익머트리얼즈,KOSDAQ,5516,12608000
354320,알멕,KOSDAQ,5490,6391381
041960,코미팜,KOSDAQ,5490,73886495
268280,미원에스씨,KOSPI,5455,5000000
078160,메디포스트,KOSDAQ,5442,39204603
093320,케이아이엔엑스,KOSDAQ,5407,4880000
011930,신성이엔지,KOSPI,5373,20584815
383310,에코프로에이치엔,KOSDAQ,5317,20974932
003545,대신증권우,KOSPI,5315,25191667
122640,예스티,KOSDAQ,5269,21418509
372320,큐로셀,KOSDAQ,5268,15225918
020000,한섬,KOSPI,5262,21476994
493280,아이엠바이오로직스,KOSDAQ,5248,14804048
010820,퍼스텍,KOSPI,5238,48771938
015860,일진홀딩스,KOSPI,5206,49347483
009900,명신산업,KOSPI,5200,52470133
025980,아난티,KOSDAQ,5196,97300990
003300,한일홀딩스,KOSPI,5183,30832884
200710,에이디테크놀로지,KOSDAQ,5183,13462007
042000,카페24,KOSDAQ,5166,24253054
332570,PS일렉트로닉스,KOSDAQ,5143,46711563
271940,일진하이솔루스,KOSPI,5142,36313190
005420,코스모화학,KOSPI,5127,38408228
101930,인화정공,KOSDAQ,5101,46164410
094800,맵스리얼티,KOSPI,5097,92834331
008730,율촌화학,KOSPI,5072,24800000
009410,태영건설,KOSPI,5047,297590078
060280,큐렉소,KOSDAQ,5046,41259790
078350,한양디지텍,KOSDAQ,5046,15244382
425040,티이엠씨,KOSDAQ,5034,21374682
377740,바이오노트,KOSPI,5028,101886048
284740,쿠쿠홈시스,KOSPI,5026,22437330
069540,빛과전자,KOSDAQ,5022,97901539
003000,부광약품,KOSPI,5012,98664671
045100,한양이엔지,KOSDAQ,4996,17500000
099190,아이센스,KOSDAQ,4987,28757309
211050,인카금융서비스,KOSDAQ,4971,49263657
340570,티앤엘,KOSDAQ,4966,8128000
230360,에코마케팅,KOSDAQ,4963,30998758
006910,보성파워텍,KOSDAQ,4938,49129824
393890,더블유씨피,KOSDAQ GLOBAL,4911,33843144
041190,우리기술투자,KOSDAQ,4897,84000000
031430,신세계인터내셔날,KOSPI,4870,34986000
018290,브이티,KOSDAQ,4864,34941838
016610,DB증권,KOSPI,4860,42446389
389500,에스비비테크,KOSDAQ,4851,6663472
014830,유니드,KOSPI,4798,6767600
381970,케이카,KOSPI,4770,48820848
001200,유진투자증권,KOSPI,4756,96866418
130660,한전산업,KOSPI,4750,32600000
